Matricule,adresse,proprietaire,Valeur_terrain,Valeur_batiment,Valeur_immeuble,Description_cadastrale
2465-16-5960-0-000-0000,"rue des Cèdres","Ville de Rimouski ",75100,0,75100,3258201
2465-59-6163-0-000-0000,"rue des Bouleaux","Ville de Rimouski ",294800,0,294800,2897948
2465-74-9601-0-000-0000,"montée des Saules","Ville de Rimouski ",56400,118000,174400,2898113
2466-01-0138-0-000-0000,"rue du Rocher-Blanc","Ville de Rimouski ",55700,0,55700,3257998
2466-01-5655-0-000-0000,"148 rue du Rocher-Blanc","Ville de Rimouski ",650900,481600,1132500,2898066
2466-03-1582-0-000-0000,"rue du Séjour","Ville de Rimouski ",100200,0,100200,2897916
2466-06-3567-0-000-0000,"rue du Séjour","Ville de Rimouski ",700,0,700,2897695
2466-12-4056-0-000-0000,"boulevard Saint-Germain","Ville de Rimouski ",695000,0,695000,2897918
2466-25-1215-0-000-0000,"boulevard Saint-Germain","Ville de Rimouski ",21700,0,21700,"2897562, 3355110"
2466-28-7196-0-000-0000,"rue de la Plage","Ville de Rimouski ",547200,0,547200,"2897474, 2897475, 4988781, 3510332, 2897477"
2466-45-4262-0-000-0000,"boulevard Saint-Germain","Ville de Rimouski ",332300,0,332300,2897558
2466-52-7397-0-000-0000,"rue des Buissons, Rimouski","Ville de Rimouski ",1500,0,1500,3258519
2466-64-4460-0-000-0000,"boulevard Saint-Germain","Ville de Rimouski ",70100,0,70100,2897554
2466-69-9103-0-000-0000,"129 rue de la Petite-Ourse","Ville de Rimouski ",40700,0,40700,5890900
2466-71-1238-0-000-0000,"rue Lauzier, Rimouski","Ville de Rimouski ",238600,0,238600,2897646
2466-78-0492-0-000-0000,"131 rue de la Petite-Ourse","Ville de Rimouski ",30700,0,30700,5890899
2466-78-1383-0-000-0000,"133 rue de la Petite-Ourse","Ville de Rimouski ",30700,0,30700,5890898
2466-78-2374-0-000-0000,"135 rue de la Petite-Ourse","Ville de Rimouski ",30700,0,30700,5890897
2466-78-3265-0-000-0000,"137 rue de la Petite-Ourse","Ville de Rimouski ",30700,0,30700,5890896
2466-78-4256-0-000-0000,"139 rue de la Petite-Ourse","Ville de Rimouski ",30700,0,30700,5890895
2466-78-5147-0-000-0000,"141 rue de la Petite-Ourse","Ville de Rimouski ",30700,0,30700,5890894
2466-78-6138-0-000-0000,"143 rue de la Petite-Ourse","Ville de Rimouski ",30700,0,30700,5890893
2466-78-7093-0-000-0000,"140 rue de la Petite-Ourse","Ville de Rimouski ",34900,0,34900,5890866
2466-78-7227-0-000-0000,"145 rue de la Petite-Ourse","Ville de Rimouski ",30700,0,30700,5890892
2466-78-8183-0-000-0000,"142 rue de la Petite-Ourse","Ville de Rimouski ",34900,0,34900,5890867
2466-78-8218-0-000-0000,"147 rue de la Petite-Ourse","Ville de Rimouski ",30700,0,30700,5890891
2466-78-9109-0-000-0000,"149 rue de la Petite-Ourse","Ville de Rimouski ",30700,0,30700,5890890
2466-78-9273-0-000-0000,"144 rue de la Petite-Ourse","Ville de Rimouski ",34900,0,34900,5890868
2466-79-3525-0-000-0000,"134 rue de la Petite-Ourse","Ville de Rimouski ",39400,0,39400,5890863
2466-79-4814-0-000-0000,"136 rue de la Petite-Ourse","Ville de Rimouski ",34900,0,34900,5890864
2466-79-5904-0-000-0000,"138 rue de la Petite-Ourse","Ville de Rimouski ",34900,0,34900,5890865
2466-87-1091-0-000-0000,"153 rue de la Petite-Ourse","Ville de Rimouski ",30700,0,30700,5890888
2466-87-2083-0-000-0000,"155 rue de la Petite-Ourse","Ville de Rimouski ",30700,0,30700,5890887
2466-87-2974-0-000-0000,"157 rue de la Petite-Ourse","Ville de Rimouski ",30700,0,30700,5890886
2466-87-3965-0-000-0000,"159 rue de la Petite-Ourse","Ville de Rimouski ",30700,0,30700,5890885
2466-87-4856-0-000-0000,"161 rue de la Petite-Ourse","Ville de Rimouski ",30700,0,30700,5890884
2466-87-5747-0-000-0000,"163 rue de la Petite-Ourse","Ville de Rimouski ",30700,0,30700,5890883
2466-87-6738-0-000-0000,"165 rue de la Petite-Ourse","Ville de Rimouski ",30700,0,30700,5890882
2466-87-7099-0-000-0000,"158 rue de la Petite-Ourse","Ville de Rimouski ",34600,0,34600,5890875
2466-87-8189-0-000-0000,"160 rue de la Petite-Ourse","Ville de Rimouski ",34600,0,34600,5890876
2466-87-8226-0-000-0000,"167 rue de la Petite-Ourse","Ville de Rimouski ",43600,0,43600,5890881
2466-87-9279-0-000-0000,"162 rue de la Petite-Ourse","Ville de Rimouski ",34600,0,34600,5890877
2466-88-0100-0-000-0000,"151 rue de la Petite-Ourse","Ville de Rimouski ",30700,0,30700,5890889
2466-88-0560-0-000-0000,"146 rue de la Petite-Ourse","Ville de Rimouski ",34600,0,34600,5890869
2466-88-1650-0-000-0000,"148 rue de la Petite-Ourse","Ville de Rimouski ",34600,0,34600,5890870
2466-88-2740-0-000-0000,"150 rue de la Petite-Ourse","Ville de Rimouski ",34600,0,34600,5890871
2466-88-3730-0-000-0000,"152 rue de la Petite-Ourse","Ville de Rimouski ",34600,0,34600,5890872
2466-88-4819-0-000-0000,"154 rue de la Petite-Ourse","Ville de Rimouski ",34600,0,34600,5890873
2466-88-5909-0-000-0000,"156 rue de la Petite-Ourse","Ville de Rimouski ",34600,0,34600,5890874
2466-88-6447-0-000-0000,"151 rue de la Grande-Ourse","Ville de Rimouski ",30900,0,30900,5890852
2466-88-7438-0-000-0000,"153 rue de la Grande-Ourse","Ville de Rimouski ",31500,0,31500,5890851
2466-96-1287-0-000-0000,"705 rue de la Grande-Ourse","Ville de Rimouski ",38200,0,38200,5890835
2466-96-2595-0-000-0000,"703 rue de la Grande-Ourse","Ville de Rimouski ",36500,0,36500,5890836
2466-97-0268-0-000-0000,"164 rue de la Petite-Ourse","Ville de Rimouski ",34600,0,34600,5890878
